customer_tweet_id,brand_tweet_id,created_at,customer_message,brand_response,silver_intent,label_method
1180,1178,Tue Oct 31 22:17:50 +0000 2017,"@VirginTrains hi! i need some help with a booking i need to change, and made a mistake on. who can i contact?",@115920 You'd need to contact our Aftersales team on 0344 556 5650 from 8am ^CB,ticket_change,conservative_customer_response_rules
1188,1186,Tue Oct 31 22:14:16 +0000 2017,@VirginTrains My daughter is on the Euston train stuck just outside Preston. Any timeframes for arrival?,"@115922 Not at this stage sadly, but the some lines will reopen shortly so services will be on the move ^CB",train_status,conservative_customer_response_rules
1201,1200,Tue Oct 31 20:20:15 +0000 2017,"@VirginTrains Oh, that's nice. What are you doing about it? What are you targets next year?","@115923 These delays are out of our control, but we do work with Network Rail to try and reduce any problems ^CB",train_status,conservative_customer_response_rules
1205,1204,Tue Oct 31 19:03:31 +0000 2017,@VirginTrains The 06:20 from Euston. Now I'm here waiting on the 19:00 from B'ham int. Also late.,@115923 Sadly the service has been delayed due to a fault on the line ^CB,train_status,conservative_customer_response_rules
1207,1206,Tue Oct 31 07:46:40 +0000 2017,"@VirginTrains For at least the third time this year, I will miss the meeting I especially took the train for in the first place. So often late. No refund because it ""doesn't qualify"". Next season = car.","@115923 Hi Andy, really sorry to hear this. Which service are you travelling on please? ^HP",refund_compensation,conservative_customer_response_rules
1194,1208,Tue Oct 31 22:13:25 +0000 2017,@VirginTrains We are enroute to Preston Now from Euston. Will we have to wait it out?,@115924 Some lines will be reopening shortly so you'll get through but delays are expected ^CB,train_status,conservative_customer_response_rules
3118,3117,Sun Nov 26 00:05:05 +0000 2017,@VirginTrains can u confirm how long was the delay for 2043 train from London Euston to Bham New Street on 23/11/17? Train announcer even announced it 45mins late. But I’m getting reply for my refund claim that it was 9mins. Pls &amp;Tq,"@116422 Hi Joanne, we have this service reported 1 minute early arriving into Birmingham New Street and 12' minutes late arriving into Wolverhampton. ^JH",refund_compensation,conservative_customer_response_rules
4216,4215,Tue Oct 31 23:06:40 +0000 2017,@VirginTrains Are the passengers still stuck,@116699 Services are still meeting with delays at Preston while the station is closed. ^SB,train_status,conservative_customer_response_rules
7505,7503,Tue Oct 31 23:39:21 +0000 2017,@VirginTrains just wondering if the station will be open tomorrow morning. SSP start around 4am.,@117261 Which station is this Alex? ^SB,station_facilities,conservative_customer_response_rules
8473,8474,Sat Nov 18 21:37:57 +0000 2017,"@VirginTrains Rather have a refund for ticket for the station staff allowing ppl drunk on the train in the 1st place. Racist, foul mouthed louts which scared the kids on the train","@117489 I'm afraid we wouldn't be able to offer a refund for this, apologies ^HP",refund_compensation,conservative_customer_response_rules
