id,customer_message,historical_response,intent,expected_resolution,should_escalate,escalation_reason
1,@VirginTrains no seats in 1st this morning! Disappointed with Virgin trains over the last few weeks. The 6:26 MKC&gt;EUS is always packed #poor,@207907 Sorry to hear this Paul. Did you reserve a seat?^BT,seat_reservation,Address the lack of available First Class seating and check whether the customer had a seat reservation; advise on seat reservation or available seating options.,y,"The customer reports recurring overcrowding and lack of First Class seating, and the available context does not confirm whether a seat was reserved."
2,@VirginTrains Hi there - I'm in standard class so I don't have access to wifi unless I pay for it which renders the beam app pointless? No worries.,@229116 Can you try forgetting the network in your settings and then connect to the network in your settings again? You won't need to actually log in to use Beam ^HP,wifi_connectivity,Explain how to connect to the onboard Wi-Fi/Beam service in standard class and clarify whether login or payment is actually required.,n,
3,Love travelling with @VirginTrains to Birmingham New Street. #Comfort #speed #service 👌,@495118 Good to hear. ^PA,other,Acknowledge the customer's positive feedback and thank them for their support.,n,
4,@VirginTrains There is a problem with the WiFi train manager has just announced and there trying to fix it #SwitchItOffAndBackOnAgain,"@128783 The Train Manager would be best to advise, Paul ^MM",wifi_connectivity,Acknowledge the Wi-Fi issue and advise the customer to follow the Train Manager's guidance while the onboard issue is being resolved.,n,
5,Well this is a first. I am actually on a train which has been cancelled while i am on it. What will become of us @VirginTrains ? https://t.co/JcrOGNV9yY,"@529884 Where are you right now, Mark? ^MW",train_status,Provide immediate guidance for the cancelled train and determine the customer's current location so appropriate alternative travel arrangements can be advised.,y,The customer is currently on a cancelled train and needs situation-specific assistance; their location and available alternatives must be determined before providing safe travel guidance.
6,@VirginTrains is there an issue with WiFi on the delayed 19.58 to Euston?,@301509 Not that we're aware of what issues are you having? ^PA,wifi_connectivity,Ask what Wi-Fi problem the customer is experiencing and provide appropriate troubleshooting or information about the onboard Wi-Fi service.,n,
7,@VirginTrains I have one email stating we are together one stating we are now https://t.co/K5F5UaWN3E,"@788137 Oh yes, that will mean they have been booked together by our team for you, just head to those booked seats on the attachment ^MW",seat_reservation,Confirm whether the passengers have been booked together and advise them to use the seats shown in their booking confirmation.,n,
8,"@VirginTrains @118101 No, the 2 or 3 staff on board seem busy making coffee or collecting tickets for me 2 bother them to be fair. Would you suggest I do?",@418786 @118101 2/2 this should connect you to the WiFi.If you are still experiencing problems our WiFi team can be reached on 03300881271^BT,wifi_connectivity,Provide Wi-Fi connection guidance and direct the customer to the Wi-Fi support team if the problem continues.,n,
9,@VirginTrains Manchester,"@789829 Wonder if he could be tempted, Pauline! :) ^HP",other,Acknowledge the message and ask the customer to provide more details about what help they need.,y,The message contains insufficient information to identify the customer's request or provide a reliable resolution.
10,What is a point of having a seat reservation when @VirginTrains cut their trains in half and your reservation doesn't exist anymore?,@324921 Which service are you referring to? ^MW,seat_reservation,"Check the affected service and explain what happened to the customer's seat reservation, then advise on available seating or alternative arrangements.",y,"The customer's seat reservation is affected by a train service change, and the specific service must be identified before the reservation or alternative seating can be confirmed."
11,@VirginTrains Yes I would please. This man made me feel undervalued and threatened,@736257 You can claim via https://t.co/tlnHK1vYuy ^PA,complaint_feedback,Acknowledge the customer's concern and provide the appropriate process for formally reporting the threatening or inappropriate staff interaction.,y,"The customer reports feeling threatened by another person, making this a potentially serious complaint that requires human review."
12,@VirginTrains @528627 I’m in the same position - do we need to change ticket or they will just accept our tickets for tonight? Thanks,"@528626 @528627 They will be accepted, Rebecca ^MW",ticket_change,Confirm that the existing ticket will be accepted for the journey and explain that no ticket change is required.,n,
13,"On a cold, delayed @VirginTrains train &amp; missing Thriller Live in London at 7.30 which I have already paid £35 for due to delays - my luck","@496740 Really sorry for that, this is due to emergency services dealing with an incident. ^PA",train_status,"Acknowledge the delay, explain the disruption, and provide information about the current train situation and expected arrival.",y,"The customer is experiencing a significant delay that has caused them to miss a paid event, and specific service information is needed to provide appropriate assistance."
14,Disappointed in my first ever @VirginTrains trip. 08.00 Gla - Euston block booking of over 20 seats but we’ve been challenged several times by others who think we are in their seats! #hassle,@424525 2/2 reserved seat? ^BT,seat_reservation,Confirm the seat reservations for the group booking and advise the customer how to verify or resolve the seat allocation issue.,y,"The large group booking has a seat allocation issue with repeated disputes, and the specific reservation details need to be verified before resolving it."
15,Thanks @VirginTrains for a lovely end to our honeymoon with the worst excuse for a train being delayed. We are waiting for a guard!,"@359358 Sorry to hear that, which service is that? ^PA",train_status,"Identify the affected train service, provide information about the delay and current situation, and advise the customer based on the available service information.",y,"The customer is currently affected by a train delay and the specific service must be identified to provide accurate, situation-specific assistance."
16,@VirginTrains Yes i had selected to allocate my seats and it didnt! Got to the station ans train is rammed packed,"@364212 Sorry to hear that. Hopefully as stations are called at, the seats will become available ^MW",seat_reservation,Check the customer's seat reservation and explain that the selected seat was not allocated; provide appropriate seating guidance or investigate the reservation issue.,y,"The customer is already at the station and the train is overcrowded, with their reserved seat not allocated, so the current journey requires immediate assistance."
17,@VirginTrains  https://t.co/CPCftAnnuo,"@321109 1/2 Thanks Paul and apologies for the delay. This service departed Glasgow late due to our crew being delayed I'm afraid,",other,The message does not contain enough information to determine the customer's request; ask the customer to provide more details.,y,"The customer message contains only a link, so there is insufficient information to identify the issue or provide a reliable response."
18,"Imagine booking a seat with a table and plug and getting a standard seat, cheers lads @VirginTrains","@324430 Sorry to hear that Ollie, our system usually assigns the next available seat if your request can't be fulfilled, apologies :(",seat_reservation,Check the customer's seat reservation and explain why the requested table and plug seat was not allocated; provide appropriate seating guidance.,y,"The customer did not receive the specifically requested seat features and is already describing the failed allocation, so the reservation should be checked."
19,@VirginTrains I requested a refund for £16.50 're tickets to Manc Airport to meet Monarch flight but only received £6.50. Seems very mean,"@357979 Hi Geoff. With all refunds a £10 admin fee is applied, therefore this would be the reason you would have only received £6.50. ^BT",refund_compensation,Explain the applicable refund or compensation process and provide the appropriate claim guidance.,n,
