customer_tweet_id,brand_tweet_id,created_at,customer_message,brand_response
1177,1176,Tue Oct 31 22:19:08 +0000 2017,@VirginTrains so i wait almost 3 hours and then they are rude and arrogant &amp; unhelpful after which she is raising a technical case https://t.co/yi9oxFMatO,@115919 If you're unhappy with your experience on this call please contact us on our website: https://t.co/rkAZcF6uR3 ^CB
1180,1178,Tue Oct 31 22:17:50 +0000 2017,"@VirginTrains hi! i need some help with a booking i need to change, and made a mistake on. who can i contact?",@115920 You'd need to contact our Aftersales team on 0344 556 5650 from 8am ^CB
1182,1181,Tue Oct 31 22:15:39 +0000 2017,"Gotta luv @VirginTrains finally get 2 call cntr, they tried to charge me £176 for a ticket which can b purchased for £88 online https://t.co/I7rkohYqaI","@115919 When amending a ticket the system would show a fare that matches your previous purchase, but this may be higher ^CB"
1185,1183,Tue Oct 31 22:16:19 +0000 2017,@VirginTrains Hi- does the new app have an option to buy an open return?,@115921 Yes it does. You need to select the return journey then in the ticket flexibility menu you can select open return ^CB
1188,1186,Tue Oct 31 22:14:16 +0000 2017,@VirginTrains My daughter is on the Euston train stuck just outside Preston. Any timeframes for arrival?,"@115922 Not at this stage sadly, but the some lines will reopen shortly so services will be on the move ^CB"
1199,1198,Tue Oct 31 22:14:07 +0000 2017,"@VirginTrains What are your targets for next season? I see your prices go up, so I assume you've set performance targets reflective of that.",@115923 We don't have that information here I'm afraid Andy ^CB
1201,1200,Tue Oct 31 20:20:15 +0000 2017,"@VirginTrains Oh, that's nice. What are you doing about it? What are you targets next year?","@115923 These delays are out of our control, but we do work with Network Rail to try and reduce any problems ^CB"
1203,1202,Tue Oct 31 19:06:54 +0000 2017,"@VirginTrains Always some supposedly acceptable reason, yes I get that, but when one uses the trains every week and spends a lot of money, for it to be late regularly is just not acceptable.","@115923 I understand the frustration this causes, Andy ^CB"
1205,1204,Tue Oct 31 19:03:31 +0000 2017,@VirginTrains The 06:20 from Euston. Now I'm here waiting on the 19:00 from B'ham int. Also late.,@115923 Sadly the service has been delayed due to a fault on the line ^CB
1207,1206,Tue Oct 31 07:46:40 +0000 2017,"@VirginTrains For at least the third time this year, I will miss the meeting I especially took the train for in the first place. So often late. No refund because it ""doesn't qualify"". Next season = car.","@115923 Hi Andy, really sorry to hear this. Which service are you travelling on please? ^HP"
