id,customer_message,gold_intent,predicted_intent,intent_correct,decision,gold_escalation,predicted_escalation,draft_reply,groundedness,resolution_correctness,helpfulness,completeness,tone,unsupported_claims,overall,brief_reason
1,@VirginTrains no seats in 1st this morning! Disappointed with Virgin trains over the last few weeks. The 6:26 MKC&gt;EUS is always packed #poor,seat_reservation,seat_reservation,True,AUTO-HANDLE,y,no,Thanks for getting in touch. This appears to relate to your seat reservation. Historical support responses handled similar requests by checking the reservation and the affected service.,,,,,,,,"Judge error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: YOUR_API*****HERE. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
2,@VirginTrains Hi there - I'm in standard class so I don't have access to wifi unless I pay for it which renders the beam app pointless? No worries.,wifi_connectivity,wifi_connectivity,True,AUTO-HANDLE,n,no,Thanks for getting in touch. Historical VirginTrains support responses provided guidance for onboard Wi-Fi issues. Please check the onboard connection and follow the available connection or login steps.,,,,,,,,"Judge error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: YOUR_API*****HERE. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
3,Love travelling with @VirginTrains to Birmingham New Street. #Comfort #speed #service 👌,other,train_status,False,ESCALATE,n,yes,Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.,,,,,,,,"Judge error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: YOUR_API*****HERE. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
4,@VirginTrains There is a problem with the WiFi train manager has just announced and there trying to fix it #SwitchItOffAndBackOnAgain,wifi_connectivity,wifi_connectivity,True,AUTO-HANDLE,n,no,Thanks for getting in touch. Historical VirginTrains support responses provided guidance for onboard Wi-Fi issues. Please check the onboard connection and follow the available connection or login steps.,,,,,,,,"Judge error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: YOUR_API*****HERE. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
5,Well this is a first. I am actually on a train which has been cancelled while i am on it. What will become of us @VirginTrains ? https://t.co/JcrOGNV9yY,train_status,train_status,True,ESCALATE,y,yes,"Thanks for getting in touch. Historical VirginTrains responses handled similar service-status enquiries by providing information about delays, cancellations, or service disruption.",,,,,,,,"Judge error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: YOUR_API*****HERE. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
6,@VirginTrains is there an issue with WiFi on the delayed 19.58 to Euston?,wifi_connectivity,wifi_connectivity,True,ESCALATE,n,yes,Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.,,,,,,,,"Judge error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: YOUR_API*****HERE. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
7,@VirginTrains I have one email stating we are together one stating we are now https://t.co/K5F5UaWN3E,seat_reservation,station_facilities,False,ESCALATE,n,yes,Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.,,,,,,,,"Judge error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: YOUR_API*****HERE. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
8,"@VirginTrains @118101 No, the 2 or 3 staff on board seem busy making coffee or collecting tickets for me 2 bother them to be fair. Would you suggest I do?",wifi_connectivity,complaint_feedback,False,ESCALATE,n,yes,Thanks for getting in touch and sharing your feedback. Historical VirginTrains responses directed complaints and feedback to the appropriate support or customer-relations team.,,,,,,,,"Judge error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: YOUR_API*****HERE. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
9,@VirginTrains Manchester,other,other,True,ESCALATE,y,yes,I need a little more information to understand your request. Please provide some details about the issue so the support team can assist you.,,,,,,,,"Judge error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: YOUR_API*****HERE. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
10,What is a point of having a seat reservation when @VirginTrains cut their trains in half and your reservation doesn't exist anymore?,seat_reservation,seat_reservation,True,AUTO-HANDLE,y,no,Thanks for getting in touch. This appears to relate to your seat reservation. Historical support responses handled similar requests by checking the reservation and the affected service.,,,,,,,,"Judge error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: YOUR_API*****HERE. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}"
