id,customer_message,true_intent,predicted_intent,intent_correct,intent_confidence,true_escalation,predicted_escalation,escalation_correct,decision,decision_reason,expected_resolution,draft_reply,grounding_overlap,top_similarity,evidence_strength,evidence_agreement,risk_signals,evidence_available,evidence_case_count,evidence_actions,unsupported_claim_count,unsupported_patterns,length_score,intent_relevant,retrieval_leakage
1,@VirginTrains no seats in 1st this morning! Disappointed with Virgin trains over the last few weeks. The 6:26 MKC&gt;EUS is always packed #poor,seat_reservation,seat_reservation,True,0.403,True,False,False,AUTO-HANDLE,"The request has moderate intent confidence and useful historical evidence, with no high-risk signals detected.",Address the lack of available First Class seating and check whether the customer had a seat reservation; advise on seat reservation or available seating options.,Thanks for getting in touch. This appears to relate to your seat reservation. Historical support responses handled similar requests by checking the reservation and the affected service.,0.375,0.376,0.445,0.2,,True,5,delay_repay|website_form|contact_customer_resolutions,0,,3,True,False
2,@VirginTrains Hi there - I'm in standard class so I don't have access to wifi unless I pay for it which renders the beam app pointless? No worries.,wifi_connectivity,wifi_connectivity,True,0.817,False,False,True,AUTO-HANDLE,Intent confidence and historical evidence provide sufficient support for automated handling.,Explain how to connect to the onboard Wi-Fi/Beam service in standard class and clarify whether login or payment is actually required.,Thanks for getting in touch. Historical VirginTrains support responses provided guidance for onboard Wi-Fi issues. Please check the onboard connection and follow the available connection or login steps.,0.28,0.264,0.405,0.4,,True,5,wifi_support,0,,3,True,False
3,Love travelling with @VirginTrains to Birmingham New Street. #Comfort #speed #service 👌,other,train_status,False,0.305,False,True,False,ESCALATE,intent confidence is very low,Acknowledge the customer's positive feedback and thank them for their support.,"Thanks for getting in touch. Historical VirginTrains responses handled similar service-status enquiries by providing information about delays, cancellations, or service disruption.",0.143,0.454,0.542,0.2,,True,5,direct_message,0,,3,True,False
4,@VirginTrains There is a problem with the WiFi train manager has just announced and there trying to fix it #SwitchItOffAndBackOnAgain,wifi_connectivity,wifi_connectivity,True,0.748,False,False,True,AUTO-HANDLE,Intent confidence and historical evidence provide sufficient support for automated handling.,Acknowledge the Wi-Fi issue and advise the customer to follow the Train Manager's guidance while the onboard issue is being resolved.,Thanks for getting in touch. Historical VirginTrains support responses provided guidance for onboard Wi-Fi issues. Please check the onboard connection and follow the available connection or login steps.,0.2,0.33,0.388,0.2,,True,5,website_form|wifi_support,0,,3,True,False
5,Well this is a first. I am actually on a train which has been cancelled while i am on it. What will become of us @VirginTrains ? https://t.co/JcrOGNV9yY,train_status,train_status,True,0.45,True,True,True,ESCALATE,The customer message does not contain enough information for a reliable response.,Provide immediate guidance for the cancelled train and determine the customer's current location so appropriate alternative travel arrangements can be advised.,"Thanks for getting in touch. Historical VirginTrains responses handled similar service-status enquiries by providing information about delays, cancellations, or service disruption.",0.19,0.234,0.268,0.2,active_disruption|insufficient_information,True,5,refund|station_staff|delay_repay|website_form,0,,3,True,False
6,@VirginTrains is there an issue with WiFi on the delayed 19.58 to Euston?,wifi_connectivity,wifi_connectivity,True,0.632,False,True,False,ESCALATE,historical resolution agreement is weak,Ask what Wi-Fi problem the customer is experiencing and provide appropriate troubleshooting or information about the onboard Wi-Fi service.,Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.,0.429,0.433,0.416,0.0,,True,5,,0,,3,False,False
7,@VirginTrains I have one email stating we are together one stating we are now https://t.co/K5F5UaWN3E,seat_reservation,station_facilities,False,0.258,False,True,False,ESCALATE,The customer message does not contain enough information for a reliable response.,Confirm whether the passengers have been booked together and advise them to use the seats shown in their booking confirmation.,Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.,0.143,0.311,0.264,0.0,insufficient_information,True,5,,0,,3,False,False
8,"@VirginTrains @118101 No, the 2 or 3 staff on board seem busy making coffee or collecting tickets for me 2 bother them to be fair. Would you suggest I do?",wifi_connectivity,complaint_feedback,False,0.206,False,True,False,ESCALATE,intent confidence is very low,Provide Wi-Fi connection guidance and direct the customer to the Wi-Fi support team if the problem continues.,Thanks for getting in touch and sharing your feedback. Historical VirginTrains responses directed complaints and feedback to the appropriate support or customer-relations team.,0.409,0.23,0.262,0.2,,True,5,contact_customer_resolutions|website_form,0,,3,True,False
9,@VirginTrains Manchester,other,other,True,0.0,True,True,True,ESCALATE,Input quality check: very_short_message,Acknowledge the message and ask the customer to provide more details about what help they need.,I need a little more information to understand your request. Please provide some details about the issue so the support team can assist you.,0.0,0.0,0.0,0.0,very_short_message,False,0,,0,,3,True,False
10,What is a point of having a seat reservation when @VirginTrains cut their trains in half and your reservation doesn't exist anymore?,seat_reservation,seat_reservation,True,0.796,True,False,False,AUTO-HANDLE,Intent confidence and historical evidence provide sufficient support for automated handling.,"Check the affected service and explain what happened to the customer's seat reservation, then advise on available seating or alternative arrangements.",Thanks for getting in touch. This appears to relate to your seat reservation. Historical support responses handled similar requests by checking the reservation and the affected service.,0.292,0.379,0.449,0.2,,True,5,station_staff|direct_message|contact_customer_resolutions|website_form,0,,3,True,False
