id,customer_message,true_intent,predicted_intent,expected_resolution,historical_evidence,evidence_case_count,retrieval_similarity,evidence_strength,evidence_agreement,predicted_decision,decision_reason,draft_reply
1,@VirginTrains no seats in 1st this morning! Disappointed with Virgin trains over the last few weeks. The 6:26 MKC&gt;EUS is always packed #poor,seat_reservation,seat_reservation,Address the lack of available First Class seating and check whether the customer had a seat reservation; advise on seat reservation or available seating options.,delay_repay|website_form|contact_customer_resolutions,5,0.376,0.445,0.2,AUTO-HANDLE,"The request has moderate intent confidence and useful historical evidence, with no high-risk signals detected.",Thanks for getting in touch. This appears to relate to your seat reservation. Historical support responses handled similar requests by checking the reservation and the affected service.
2,@VirginTrains Hi there - I'm in standard class so I don't have access to wifi unless I pay for it which renders the beam app pointless? No worries.,wifi_connectivity,wifi_connectivity,Explain how to connect to the onboard Wi-Fi/Beam service in standard class and clarify whether login or payment is actually required.,wifi_support,5,0.264,0.405,0.4,AUTO-HANDLE,Intent confidence and historical evidence provide sufficient support for automated handling.,Thanks for getting in touch. Historical VirginTrains support responses provided guidance for onboard Wi-Fi issues. Please check the onboard connection and follow the available connection or login steps.
4,@VirginTrains There is a problem with the WiFi train manager has just announced and there trying to fix it #SwitchItOffAndBackOnAgain,wifi_connectivity,wifi_connectivity,Acknowledge the Wi-Fi issue and advise the customer to follow the Train Manager's guidance while the onboard issue is being resolved.,website_form|wifi_support,5,0.33,0.388,0.2,AUTO-HANDLE,Intent confidence and historical evidence provide sufficient support for automated handling.,Thanks for getting in touch. Historical VirginTrains support responses provided guidance for onboard Wi-Fi issues. Please check the onboard connection and follow the available connection or login steps.
5,Well this is a first. I am actually on a train which has been cancelled while i am on it. What will become of us @VirginTrains ? https://t.co/JcrOGNV9yY,train_status,train_status,Provide immediate guidance for the cancelled train and determine the customer's current location so appropriate alternative travel arrangements can be advised.,refund|station_staff|delay_repay|website_form,5,0.234,0.268,0.2,ESCALATE,The customer message does not contain enough information for a reliable response.,"Thanks for getting in touch. Historical VirginTrains responses handled similar service-status enquiries by providing information about delays, cancellations, or service disruption."
10,What is a point of having a seat reservation when @VirginTrains cut their trains in half and your reservation doesn't exist anymore?,seat_reservation,seat_reservation,"Check the affected service and explain what happened to the customer's seat reservation, then advise on available seating or alternative arrangements.",station_staff|direct_message|contact_customer_resolutions|website_form,5,0.379,0.449,0.2,AUTO-HANDLE,Intent confidence and historical evidence provide sufficient support for automated handling.,Thanks for getting in touch. This appears to relate to your seat reservation. Historical support responses handled similar requests by checking the reservation and the affected service.
16,@VirginTrains Yes i had selected to allocate my seats and it didnt! Got to the station ans train is rammed packed,seat_reservation,seat_reservation,Check the customer's seat reservation and explain that the selected seat was not allocated; provide appropriate seating guidance or investigate the reservation issue.,refund|direct_message,5,0.279,0.324,0.2,ESCALATE,intent confidence is very low,Thanks for getting in touch. This appears to relate to your seat reservation. Historical support responses handled similar requests by checking the reservation and the affected service.
25,@VirginTrains Hiya - can I DM you about an amendment I have made to a booking? Not getting anywhere on the phone and need it resolved soon as poss. Thanks!,ticket_change,ticket_change,"Review the booking amendment and duplicate tickets, then help the customer resolve the accidental order and explain the applicable refund process.",direct_message,5,0.298,0.347,0.2,ESCALATE,available evidence is insufficient for reliable automated handling,Thanks for getting in touch. Historical VirginTrains responses directed similar ticket amendment requests to the Aftersales team. They can review the booking and advise on the available options.
28,@VirginTrains Can I have the complaints contact?,complaint_feedback,complaint_feedback,Acknowledge the concern and provide the appropriate complaint or feedback process.,website_form|contact_customer_resolutions|station_staff|wifi_support,5,0.31,0.462,0.4,AUTO-HANDLE,Intent confidence and historical evidence provide sufficient support for automated handling.,Thanks for getting in touch and sharing your feedback. Historical VirginTrains responses directed complaints and feedback to the appropriate support or customer-relations team.
29,"@VirginTrains So now I arrive in Blackpool Sth an hour late, and basically that’s my problem? V disappointing.",refund_compensation,train_status,Explain the applicable refund or compensation process and provide the appropriate claim guidance.,contact_aftersales|website_form,5,0.263,0.303,0.2,ESCALATE,intent confidence is very low,"Thanks for getting in touch. Historical VirginTrains responses handled similar service-status enquiries by providing information about delays, cancellations, or service disruption."
30,@VirginTrains Anyone to discus a booking I've made. I've tried to amend it online and now ended up with two lots of tickets. I just booked them and don't have the actual printed tickets and it is saying I won't get money back for the accidental order until I post them. But I don't have them?!,ticket_change,ticket_change,"Review the booking amendment and duplicate tickets, then help the customer resolve the accidental order and explain the applicable refund process.",website_form|delay_repay|contact_aftersales,5,0.164,0.28,0.4,ESCALATE,intent confidence is very low; historical retrieval evidence is weak,Thanks for getting in touch. Historical VirginTrains responses directed similar ticket amendment requests to the Aftersales team. They can review the booking and advise on the available options.
